timestamp,dayInd,close,high,low,volume
1687320000000,0.0,124.83,126.73,123.85,52137670.0
1687406400000,1.0,130.15,130.33,125.14,90354572.0
1687492800000,2.0,129.33,130.84,128.28,71917746.0
1687752000000,3.0,127.33,131.49,127.1,59989317.0
1687838400000,4.0,129.18,130.085,127.55,46467852.0
1687924800000,5.0,129.04,131.48,128.44,52149512.0
1688011200000,6.0,127.9,129.26,127.255,40760959.0
1688097600000,7.0,130.36,131.245,128.95,54327974.0
1688356800000,8.0,130.22,131.85,130.065,28264785.0
1688529600000,9.0,130.38,131.4,129.64,35895409.0
1688616000000,10.0,128.36,128.73,127.37,40697848.0
1688702400000,11.0,129.78,130.97,128.1294,41992251.0
1688961600000,12.0,127.13,129.28,125.915,61889289.0
1689048000000,13.0,128.78,129.77,127.35,49951460.0
1689134400000,14.0,130.8,131.26,128.83,53922847.0
1689220800000,15.0,134.3,134.67,132.71,61166283.0
1689307200000,16.0,134.68,136.65,134.06,54466090.0
1689566400000,17.0,133.56,135.62,133.21,48450198.0
1689652800000,18.0,132.83,133.86,131.355,54969133.0
1689739200000,19.0,135.36,135.99,132.53,54390507.0
1689825600000,20.0,129.96,134.7915,129.33,59782329.0
1689912000000,21.0,130.0,131.37,128.415,133282294.0
1690171200000,22.0,128.8,131.66,128.35,45667080.0
1690257600000,23.0,129.13,129.58,128.53,39219663.0
1690344000000,24.0,128.15,129.08,126.11,53910087.0
1690430400000,25.0,128.25,132.63,127.79,52610661.0
1690516800000,26.0,132.21,133.01,129.33,46269781.0
1690776000000,27.0,133.68,133.87,132.38,41901516.0
1690862400000,28.0,131.69,133.69,131.6199,42250989.0
1690948800000,29.0,128.21,130.23,126.82,50988614.0
1691035200000,30.0,128.91,129.84,126.41,90855736.0
1691121600000,31.0,139.57,143.63,139.32,153091370.0
1691380800000,32.0,142.22,142.54,138.95,71213112.0
1691467200000,33.0,139.94,140.84,138.42,51706497.0
1691553600000,34.0,137.85,140.32,137.1,49910149.0
1691640000000,35.0,138.56,140.41,137.49,58804832.0
1691726400000,36.0,138.41,139.33,137.0,42905833.0
1691985600000,37.0,140.57,140.59,137.75,47148699.0
1692072000000,38.0,137.67,141.2778,137.23,42781521.0
1692158400000,39.0,135.07,137.27,135.01,41675903.0
1692244800000,40.0,133.98,136.085,133.53,48354085.0
1692331200000,41.0,133.22,134.065,131.15,48497595.0
1692590400000,42.0,134.68,135.185,132.71,41442483.0
1692676800000,43.0,134.25,135.65,133.73,32935104.0
1692763200000,44.0,135.52,135.95,133.22,42786043.0
1692849600000,45.0,131.84,136.775,131.83,43646250.0
1692936000000,46.0,133.26,133.87,130.58,44147451.0
1693195200000,47.0,133.14,133.95,131.85,33956210.0
1693281600000,48.0,134.91,135.14,133.25,38646093.0
1693368000000,49.0,135.07,135.68,133.92,36130015.0
1693454400000,50.0,138.01,138.7885,135.0,58431314.0
1693540800000,51.0,138.12,139.96,136.875,40986536.0
1693886400000,52.0,137.27,137.8,135.82,40627738.0
1693972800000,53.0,135.36,137.45,134.61,41785507.0
1694059200000,54.0,137.85,138.03,133.16,48498912.0
1694145600000,55.0,138.23,138.8519,136.75,38365929.0
1694404800000,56.0,143.1,143.62,138.64,56755075.0
1694491200000,57.0,141.23,143.0,140.61,42668452.0
1694577600000,58.0,144.85,144.98,140.865,60463535.0
1694664000000,59.0,144.72,145.86,142.95,64033607.0
1694750400000,60.0,140.39,143.57,140.09,102709327.0
1695009600000,61.0,139.98,141.75,139.22,42823480.0
1695096000000,62.0,137.63,138.84,135.56,61306070.0
1695182400000,63.0,135.29,139.37,135.2,46263716.0
1695268800000,64.0,129.33,132.24,129.31,70343342.0
1695355200000,65.0,129.12,132.03,128.52,59604348.0
1695614400000,66.0,131.27,131.78,128.77,46017825.0
1695700800000,67.0,125.98,130.39,125.28,73007107.0
1695787200000,68.0,125.98,127.48,124.13,66445149.0
1695873600000,69.0,125.98,126.5801,123.04,54554968.0
1695960000000,70.0,127.12,129.15,126.32,62411730.0
1696219200000,71.0,129.46,130.47,126.54,48029744.0
1696305600000,72.0,124.72,128.52,124.2544,51559991.0
1696392000000,73.0,127.0,127.36,125.68,44203870.0
1696478400000,74.0,125.96,126.73,124.33,39657043.0
1696564800000,75.0,127.96,128.45,124.13,46814698.0
1696824000000,76.0,128.26,128.79,124.76,38746138.0
1696910400000,77.0,129.48,130.74,128.05,42106579.0
1696996800000,78.0,131.83,132.05,129.61,40513342.0
1697083200000,79.0,132.33,134.48,131.23,55528581.0
1697169600000,80.0,129.79,133.3145,128.95,45824685.0
1697428800000,81.0,132.55,133.07,130.425,42832918.0
1697515200000,82.0,131.47,132.58,128.71,49344550.0
1697601600000,83.0,128.13,130.6699,127.51,42623479.0
1697688000000,84.0,128.4,132.24,127.47,60951105.0
1697774400000,85.0,125.17,128.17,124.97,56317010.0
1698033600000,86.0,126.56,127.88,123.98,48216183.0
1698120000000,87.0,128.56,128.8,126.34,46180180.0
1698206400000,88.0,121.39,126.34,120.79,74516044.0
1698292800000,89.0,119.57,121.6393,118.35,100240816.0
1698379200000,90.0,127.74,130.02,125.52,125284313.0
1698638400000,91.0,132.71,133.0,128.56,72465542.0
1698724800000,92.0,133.09,133.57,131.71,51589380.0
1698811200000,93.0,137.0,137.35,133.71,61529409.0
1698897600000,94.0,138.07,138.81,136.47,52236693.0
1698984000000,95.0,138.6,139.49,137.45,44059805.0
1699246800000,96.0,139.74,140.73,138.36,44772917.0
1699333200000,97.0,142.71,143.37,141.2183,53540937.0
1699419600000,98.0,142.08,143.12,139.84,44521658.0
1699506000000,99.0,140.6,142.65,139.91,36235367.0
1699592400000,100.0,143.56,143.65,140.67,49349937.0
1699851600000,101.0,142.59,143.23,140.68,35680570.0
1699938000000,102.0,145.8,147.26,142.59,56674551.0
1700024400000,103.0,143.2,147.29,139.52,63874520.0
1700110800000,104.0,142.83,143.32,142.545,49653512.0
1700197200000,105.0,145.18,145.23,142.725,49361537.0
1700456400000,106.0,146.13,146.63,144.725,41978766.0
1700542800000,107.0,143.9,144.05,141.5,71225992.0
1700629200000,108.0,146.71,147.74,144.57,45700002.0
1700710800000,109.0,146.74,147.2,145.32,22378379.0
1700797200000,110.0,147.73,149.26,146.88,53762428.0
1701147600000,111.0,147.03,147.5999,145.53,42711682.0
1701234000000,112.0,146.32,148.54,145.97,40610907.0
1701320400000,113.0,146.09,146.93,144.332,65814022.0
1701406800000,114.0,147.03,147.245,145.55,39949248.0
1701666000000,115.0,144.84,145.35,142.81,48294244.0
